id_output,Name,Stage,Type,Rarity,Evolves to,HP,Attack,Defence,Speed,Move1 Name,Move1 Power,Move1 Level,Move1 Stat Buff,Move1 Stat Buff Percentage,Move2 Name,Move2 Power,Move2 Level,Move2 Stat Buff,Move2 Stat Buff Percentage,Move3 Name,Move3 Power,Move3 Level,Move3 Stat Buff,Move3 Stat Buff Percentage,Move4 Name,Move4 Power,Move4 Level,Move4 Stat Buff,Move4 Stat Buff Percentage
Elemental Awakening_01,Meditot,Stage 1,Mystic,2,Zenquaza,55,40,55,53,Mind Mirage,32,1,,,Ethereal Echo,43,3,,,,,,,,,,,,
Elemental Awakening_02,Zenquaza,Stage 2,Mystic,,,88,65,73,74,Mind Mirage,32,1,,,Ethereal Echo,43,3,,,Ether Lash,0,7,Attack,40%,Arcane Spiral,57,10,,
Elemental Awakening_03,Harmoniqueon,Stage 1,Mystic,4,,107,78,83,72,Cosmic Calm,38,1,,,Phantom Pulse,54,4,,,Soulflare Majesty,0,6,Defence,45%,Arcane Sovereign,76,8,,
Elemental Awakening_04,Traplet,Stage 1,Mystic,2,Traphex,54,46,44,65,Aura Whisper,22,1,,,Lunar Glow,0,3,Speed,40%,,,,,,,,,,
Elemental Awakening_05,Traphex,Stage 2,Mystic,,,78,63,56,81,Aura Whisper,22,1,,,Lunar Glow,0,3,Speed,40%,Ethereal Snare,50,7,,,Soulrend,59,8,,
Elemental Awakening_06,Chimerasprout,Stage 1,Mystic,3,Chimerafluff,50,56,55,56,Psycho Drift,28,1,,,Mental Tackle,45,4,,,,,,,,,,,,
Elemental Awakening_07,Chimerafluff,Stage 2,Mystic,,Chimereal,67,71,58,59,Psycho Drift,28,1,,,Mental Tackle,45,4,,,Illusion Mist,59,7,,,,,,,
Elemental Awakening_08,Chimereal,Stage 3,Mystic,,,98,88,72,66,Psycho Drift,28,1,,,Mental Tackle,45,4,,,Illusion Mist,59,7,,,Vision Beam,0,8,Attack,45%
Elemental Awakening_09,Pheonyx,Stage 1,Mystic,5,,100,80,90,90,Dizzy Shot,35,1,,,Mystic Blaze,47,3,,,Soul Torrent,0,6,Speed,50%,Spirit Surge,70,8,,
Elemental Awakening_10,Mystikid,Stage 1,Mystic,2,Mystikeon,45,61,45,62,Dreamwave,32,1,,,Dream Booster,45,2,,,Zen Bolt,0,5,Defence,40%,,,,,
Elemental Awakening_11,Mystikeon,Stage 2,Mystic,,,66,87,63,84,Dreamwave,32,1,,,Dream Booster,45,2,,,Zen Bolt,0,5,Defence,40%,Astral Haunting,66,8,,
Elemental Awakening_12,Spiritfoil,Stage 1,Mystic,1,Nebulicorn,42,34,46,45,Shade Tackle,31,1,,,Nebula Howl,36,2,,,Wraith Dash,0,7,Speed,40%,,,,,
Elemental Awakening_13,Nebulicorn,Stage 2,Mystic,,Wraithhorn,59,45,67,67,Shade Tackle,31,1,,,Nebula Howl,36,2,,,Wraith Dash,0,7,Speed,40%,Centric Horizon,60,8,,
Elemental Awakening_14,Wraithhorn,Stage 3,Mystic,,,91,87,72,80,Shade Tackle,31,1,,,Nebula Howl,36,2,,,Wraith Dash,0,7,Speed,40%,Centric Horizon,66,8,,
Elemental Awakening_15,Dragomind,Stage 1,Mystic,1,Mindsheer,50,50,50,50,Mind Blaze,19,1,,,Blue Nova,46,3,,,,,,,,,,,,
Elemental Awakening_16,Mindsheer,Stage 2,Mystic,,Psydrake,65,65,65,65,Mind Blaze,19,1,,,Blue Nova,46,3,,,Brain Freeze,0,6,Attack,40%,Spirit Chant,63,8,,
Elemental Awakening_17,Psydrake,Stage 3,Mystic,,,82,82,82,82,Mind Blaze,19,1,,,Blue Nova,46,3,,,Brain Freeze,0,6,Attack,40%,Spirit Chant,63,8,,
Elemental Awakening_18,Zephyrquill,Stage 1,Wind,3,,30,60,30,109,Gale Flow,11,1,,,Light Blow,48,3,,,Whirl Burst,0,6,Attack,40%,Zephyr Strike,78,8,,
Elemental Awakening_19,Aeruffin,Stage 1,Wind,4,,98,89,61,93,Beak Gust,42,1,,,Gale Flip,42,3,,,Storm Carve,65,7,,,Wind Reaver,0,8,Speed,45%
Elemental Awakening_20,Stormbud,Stage 1,Wind,2,Blossomgale,30,56,52,73,Budding Wind,15,1,,,Gale Strike,49,3,,,,,,,,,,,,
Elemental Awakening_21,Blossomgale,Stage 2,Wind,,,60,78,66,88,Budding Wind,15,1,,,Gale Strike,49,3,,,Petal Tornado,60,5,,,Tempest Slice,0,8,Attack,40%
Elemental Awakening_22,Dodolet,Stage 1,Wind,2,Dodrift,65,55,43,55,Coin Clash,17,1,,,Dice Fury,0,3,Speed,40%,,,,,,,,,,
Elemental Awakening_23,Dodrift,Stage 2,Wind,,Dodoryphon,73,59,54,69,Coin Clash,17,1,,,Dice Fury,0,3,Speed,40%,Dice Tempest,42,6,,,,,,,
Elemental Awakening_24,Dodoryphon,Stage 3,Wind,,,78,78,78,89,Coin Clash,17,1,,,Dice Fury,0,3,Speed,40%,Dice Tempest,42,6,,,Cyclone Edge,72,8,,
Elemental Awakening_25,Aeroquatic,Stage 1,Wind,3,Prismarine,50,67,50,67,Rainbow Surge,30,1,,,Aqua Radiance,45,3,,,Prismatic Dive,61,7,,,,,,,
Elemental Awakening_26,Prismarine,Stage 2,Wind,,,50,89,55,89,Rainbow Surge,30,1,,,Aqua Radiance,45,3,,,Prismatic Dive,61,7,,,Rainbow Strike,0,9,Attack,40%
Elemental Awakening_27,Pyrosora,Stage 1,Wind,5,,80,104,78,98,Inferno Wing,42,1,,,Solar Ascend,0,4,Speed,50%,Aerial Fever,64,6,,,Burning Feather,73,9,,
Elemental Awakening_28,Batakaze,Stage 1,Wind,1,Shadowflit,50,50,25,88,Night Strike,27,1,,,Ethereal Pulse,46,3,,,,,,,,,,,,
Elemental Awakening_29,Shadowflit,Stage 2,Wind,,,50,80,55,98,Night Strike,27,1,,,Ethereal Pulse,46,3,,,Wraithwind,51,6,,,Soulgust,0,10,Defence,40%
