id_output,Name,Stage,Type,Image,Rarity,Evolves to,Evolution candy
Elemental Awakening_01,Meditot,Stage 1,Mystic,Meditot.png,2,Zenquaza,30
Elemental Awakening_02,Zenquaza,Stage 2,Mystic,Zenquaza.png,,,
Elemental Awakening_03,Harmoniqueon,Stage 1,Mystic,Harmoniqueon.png,4,,
Elemental Awakening_04,Traplet,Stage 1,Mystic,Traplet.png,2,Traphex,30
Elemental Awakening_05,Traphex,Stage 2,Mystic,Traphex.png,,,
Elemental Awakening_06,Chimerasprout,Stage 1,Mystic,Chimerasprout.png,3,Chimerafluff,25
Elemental Awakening_07,Chimerafluff,Stage 2,Mystic,Chimerafluff.png,,Chimereal,50
Elemental Awakening_08,Chimereal,Stage 3,Mystic,Chimereal.png,,,
Elemental Awakening_09,Pheonyx,Stage 1,Mystic,Pheonyx.png,5,,
Elemental Awakening_10,Mystikid,Stage 1,Mystic,Mystikid.png,2,Mystikeon,30
Elemental Awakening_11,Mystikeon,Stage 2,Mystic,Mystikeon.png,,,
Elemental Awakening_12,Spiritfoil,Stage 1,Mystic,Spiritfoil.png,1,Nebulicorn,20
Elemental Awakening_13,Nebulicorn,Stage 2,Mystic,Nebulicorn.png,,Wraithhorn,40
Elemental Awakening_14,Wraithhorn,Stage 3,Mystic,Wraithhorn.png,,,
Elemental Awakening_15,Dragomind,Stage 1,Mystic,Dragomind.png,1,Mindsheer,20
Elemental Awakening_16,Mindsheer,Stage 2,Mystic,Mindsheer.png,,Psydrake,40
Elemental Awakening_17,Psydrake,Stage 3,Mystic,Psydrake.png,,,
Elemental Awakening_18,Zephyrquill,Stage 1,Wind,Zephyrquill.png,3,,
Elemental Awakening_19,Aeruffin,Stage 1,Wind,Aeruffin.png,4,,
Elemental Awakening_20,Stormbud,Stage 1,Wind,Stormbud.png,2,Blossomgale,30
Elemental Awakening_21,Blossomgale,Stage 2,Wind,Blossomgale.png,,,
Elemental Awakening_22,Dodolet,Stage 1,Wind,Dodolet.png,2,Dodrift,25
Elemental Awakening_23,Dodrift,Stage 2,Wind,Dodrift.png,,Dodoryphon,50
Elemental Awakening_24,Dodoryphon,Stage 3,Wind,Dodoryphon.png,,,
Elemental Awakening_25,Aeroquatic,Stage 1,Wind,Aeroquatic.png,3,Prismarine,30
Elemental Awakening_26,Prismarine,Stage 2,Wind,Prismarine.png,,,
Elemental Awakening_27,Pyrosora,Stage 1,Wind,Pyrosora.png,5,,
Elemental Awakening_28,Batakaze,Stage 1,Wind,Batakaze.png,1,Shadowflit,25
