id_output,Name,Stage,Type,image,Rarity,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Effect,Move1 Effect number,Move2 Name,Move2 Power,Move2 Level,Move2 Effect,Move2 Effect number,Move3 Name,Move3 Power,Move3 Level,Move3 Effect,Move3 Effect number,Move4 Name,Move4 Power,Move4 Level,Move4 Effect,Move4 Effect number
Exclusive_20.png,Emotoad,Stage 1,Mystic,Emotoad.png,3,Spiranoir,35,70,45,63,40,218,Mire Pulse,32,1,,,Boggy Bounce,55,4,,,,,,,,,,,,
Exclusive_21.png,Spiranoir,Stage 2,Mystic,Spiranoir.png,,,,88,78,84,57,307,Mire Pulse,32,1,,,Boggy Bounce,55,4,,,Toxin Croak,0,6,Buff self defence,50%,Sludge Serenade,68,8,,
Exclusive_22.png,Mindloch,Stage 1,Mystic,Mindloch.png,4,,,64,103,56,109,332,Thought Snare,41,1,,,Echoing Dread,57,4,,,Brainwave Bind,0,7,Buff self attack,45%,Nightmare Locket,74,9,,
Exclusive_23.png,Pipelo,Stage 1,Mystic,Pipelo.png,3,Dreadpipe,30,76,34,87,13,210,Stream Chant,36,1,,,,,,,,,,,,,,,,,
Exclusive_24.png,Dreadpipe,Stage 2,Mystic,Dreadpipe.png,,Gallowpipe,60,87,55,92,39,273,Stream Chant,36,1,,,Bubble Aria,0,4,Debuff opponent attack,35%,Ripple Waltz,61,7,,,,,,,
Exclusive_25.png,Gallowpipe,Stage 3,Mystic,Gallowpipe.png,,,,100,75,93,66,334,Stream Chant,36,1,,,Bubble Aria,0,4,Debuff opponent attack,35%,Ripple Waltz,61,7,,,Cascade Chorus,71,8,,
Exclusive_26.png,Audibolt,Stage 1,Wind,Audibolt.png,3,Tympanarch,45,45,77,67,70,259,Thunder Verse,37,1,,,Static Solo,34,4,Buff self speed,20%,,,,,,,,,,
Exclusive_27.png,Tympanarch,Stage 2,Wind,Tympanarch.png,,,,48,97,79,79,303,Thunder Verse,37,1,,,Static Solo,34,4,Buff self speed,20%,Amped Anthem,66,6,,,Resonant Shock,73,8,,
Exclusive_28.png,Whifflen,Stage 1,Wind,Whifflen.png,4,,,70,88,70,88,316,Breeze Nuzzle,25,1,Buff self attack,15%,Pollen Puff,45,4,,,Drift Dance,64,7,,,Whisper Gale,92,8,Debuff self attack,30%
Exclusive_29.png,Chiquiloma,Stage 1,Wind,Chiquiloma.png,3,Regaloma,30,68,58,55,55,236,Plaza Peck,40,1,,,Bell Chime Chirp,54,4,,,,,,,,,,,,
