id_output,Name,Stage,Type,image,Rarity,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Stat Buff,Move1 Stat Buff Percentage,Move2 Name,Move2 Power,Move2 Level,Move2 Stat Buff,Move2 Stat Buff Percentage,Move3 Name,Move3 Power,Move3 Level,Move3 Stat Buff,Move3 Stat Buff Percentage,Move4 Name,Move4 Power,Move4 Level,Move4 Stat Buff,Move4 Stat Buff Percentage
Galactic Adventures_01.png,Psybella,Stage 1,Mystic,Psybella.png,3,Fuschioria,30,76,56,66,57,255,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_02.png,Fuschioria,Stage 2,Mystic,Fuschioria.png,,,,89,87,78,66,320,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_03.png,Zenethra,Stage 1,Mystic,Zenethra.png,3,,,70,60,70,78,278,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_04.png,Astralin,Stage 1,Mystic,Astralin.png,1,Aetherin,20,45,54,45,54,198,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_05.png,Aetherin,Stage 2,Mystic,Aetherin.png,,Mystaeon,45,65,56,65,56,242,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_06.png,Mystaeon,Stage 3,Mystic,Mystaeon.png,,,,67,95,67,99,328,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_07.png,Psychea,Stage 1,Mystic,Psychea.png,2,Olympis,25,50,34,65,77,226,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_08.png,Olympis,Stage 2,Mystic,Olympis.png,,Oraclyon,50,50,67,65,88,270,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_09.png,Oraclyon,Stage 3,Mystic,Oraclyon.png,,,,50,100,65,110,325,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_10.png,Mummira,Stage 1,Mystic,Mummira.png,4,,,89,120,30,67,306,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_11.png,Mangost,Stage 1,Mystic,Mangost.png,1,Ectomango,25,54,54,54,54,216,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_12.png,Ectomango,Stage 2,Mystic,Ectomango.png,,,,74,74,74,74,296,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_13.png,Pantheraura,Stage 1,Mystic,Pantheraura.png,5,,,70,98,89,101,358,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_14.png,Frostant,Stage 1,Mystic,Frostant.png,4,,,70,80,76,76,302,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_15.png,Airsting,Stage 1,Wind,Airsting.png,1,Breezebuzz,25,50,50,50,69,219,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_16.png,Breezebuzz,Stage 2,Wind,Breezebuzz.png,,,,60,80,80,96,316,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_17.png,Skybee,Stage 1,Wind,Skybee.png,1,Zephyrbuzz,25,50,50,50,69,219,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_18.png,Zephyrbuzz,Stage 2,Wind,Zephyrbuzz.png,,,,80,80,60,96,316,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_19.png,Hoatzion,Stage 1,Wind,Hoatzion.png,4,,,89,80,80,80,329,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_20.png,Electrogriff,Stage 1,Wind,Electrogriff.png,5,,,100,102,80,78,360,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_21.png,Cockeriel,Stage 1,Wind,Cockeriel.png,2,Cockatrike,25,30,25,30,70,155,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_22.png,Cockatrike,Stage 2,Wind,Cockatrike.png,,Cockarion,50,70,60,36,88,254,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_23.png,Cockarion,Stage 3,Wind,Cockarion.png,,,,100,104,40,99,343,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_24.png,Tielzor,Stage 1,Wind,Tielzor.png,4,,,100,100,50,98,348,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_25.png,Eclipso,Stage 1,Wind,Eclipso.png,3,Astraea,30,60,67,60,88,275,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_26.png,Astraea,Stage 2,Wind,Astraea.png,,,,78,78,78,103,337,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_27.png,Quirkquack,Stage 1,Wind,Quirkquack.png,3,,,87,67,70,56,280,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_28.png,Anter,Stage 1,Neutral,Anter.png,2,Antoro,20,50,62,44,76,232,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_29.png,Antoro,Stage 2,Neutral,Antoro.png,,Antaray,40,54,65,45,88,252,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_30.png,Antaray,Stage 3,Neutral,Antaray.png,,,,69,84,69,95,317,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_31.png,Meerkool Order,Stage 1,Neutral,Meerkool Order.png,1,,,70,45,70,45,230,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_32.png,Meerkool Chaos,Stage 1,Neutral,Meerkool Chaos.png,1,,,45,70,45,70,230,,,,,,,,,,,,,,,,,,,,
Galactic Adventures_33.png,Pangolilly,Stage 1,Neutral,Pangolilly.png,3,Pangomancer,25,56,44,77,50,227,,,,,,,,,,,,,,,,,,,,
