id_output,Name,Stage,Type,image,Rarity,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Stat Buff,Move1 Stat Buff Percentage,Move2 Name,Move2 Power,Move2 Level,Move2 Stat Buff,Move2 Stat Buff Percentage,Move3 Name,Move3 Power,Move3 Level,Move3 Stat Buff,Move3 Stat Buff Percentage,Move4 Name,Move4 Power,Move4 Level,Move4 Stat Buff,Move4 Stat Buff Percentage
Galactic Adventures_01.png,Psybella,Stage 1,Mystic,Psybella.png,3,Fuschioria,30,76,56,66,57,71,Mind Petal,30,1,,,Psy Bloom,41,3,,,Dream Spiral,0,6,Attack,45%,,,,,
Galactic Adventures_02.png,Fuschioria,Stage 2,Mystic,Fuschioria.png,,,,89,87,78,66,131,Mind Petal,30,1,,,Psy Bloom,41,3,,,Dream Spiral,0,6,Attack,45%,Mystic Grace,60,9,,
Galactic Adventures_03.png,Zenethra,Stage 1,Mystic,Zenethra.png,3,,,70,60,70,78,132,Zenith Pulse,22,1,,,Ether Slash,43,4,,,Calm Ascension,67,6,,,Astral Drift,0,9,Speed,45%
Galactic Adventures_04.png,Astralin,Stage 1,Mystic,Astralin.png,1,Aetherin,20,45,54,45,54,64,Starlet Flick,25,1,,,Astral Wink,39,3,,,,,,,,,,,,
Galactic Adventures_05.png,Aetherin,Stage 2,Mystic,Aetherin.png,,Mystaeon,45,65,56,65,56,64,Starlet Flick,25,1,,,Astral Wink,39,3,,,,,,,,,,,,
Galactic Adventures_06.png,Mystaeon,Stage 3,Mystic,Mystaeon.png,,,,67,95,67,99,132,Starlet Flick,25,1,,,Astral Wink,39,3,,,Nebula Nudge,68,6,,,Cosmic Twirl,0,8,Attack,40%
Galactic Adventures_07.png,Psychea,Stage 1,Mystic,Psychea.png,2,Olympis,25,50,34,65,77,63,Thought Ripple,22,1,,,Mind Flutter,41,3,,,Psychic Chirp,0,6,Speed,40%,,,,,
Galactic Adventures_08.png,Olympis,Stage 2,Mystic,Olympis.png,,Oraclyon,50,50,67,65,88,63,Thought Ripple,22,1,,,Mind Flutter,41,3,,,Psychic Chirp,0,6,Speed,40%,,,,,
Galactic Adventures_09.png,Oraclyon,Stage 3,Mystic,Oraclyon.png,,,,50,100,65,110,130,Thought Ripple,22,1,,,Mind Flutter,41,3,,,Psychic Chirp,0,6,Speed,40%,Aura Echo,67,9,,
Galactic Adventures_10.png,Mummira,Stage 1,Mystic,Mummira.png,4,,,89,120,30,67,156,Spirit Wrap,32,1,,,Tomb Pulse,46,3,,,Mystic Bind,0,5,Attack,40%,Curse Flutter,78,9,,
Galactic Adventures_11.png,Mangost,Stage 1,Mystic,Mangost.png,1,Ectomango,25,54,54,54,54,60,Mango Burst,17,1,,,Spirit Peel,43,3,,,,,,,,,,,,
Galactic Adventures_12.png,Ectomango,Stage 2,Mystic,Ectomango.png,,,,74,74,74,74,137,Mango Burst,17,1,,,Spirit Peel,43,3,,,Mystic Seed,0,6,Defence,45%,Ghostly Zest,77,9,,
Galactic Adventures_13.png,Pantheraura,Stage 1,Mystic,Pantheraura.png,5,,,70,98,89,101,148,Aura Pounce,29,1,,,Shadow Swipe,0,3,Attack,45%,Mystic Roar,51,6,,,Phantom Dash,68,8,,
