id_output,move1 name,move1_x,move1_level_x,move1 buff,move1 buff p,move2 name,move2_x,move2_level_x,move2 buff,move2 buff p,move3 name,move3_x,move3_level_x,move3 buff,move3 buff p,move4 name,move4_x,move4_level_x,move4 buff,move4 buff p,Name,Stage,Type,image,Rarity,Spawn Restriction,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Effect,Move1 Effect number,Move2 Name,Move2 Power,Move2 Level,Move2 Effect,Move2 Effect number,Move3 Name,Move3 Power,Move3 Level,Move3 Effect,Move3 Effect number,Move4 Name,Move4 Power,Move4 Level,Move4 Effect,Move4 Effect number,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,move1_level_y,move2_level_y,move3_level_y,move4_level_y,buff_move,move1_y,move2_y,move3_y,move4_y
Temporal Rift_01,,32,1.0,,,,Buff,4.0,,,,56,5.0,,,,65,8.0,,,Toxikin,Stage 1,Mystic,Toxikin.png,2.0,,Toxighoul,25.0,45.0,45.0,45.0,72.0,207.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,8.0,move2,32,Buff,56,65
Temporal Rift_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_04,,22,1.0,,,,51,2.0,,,,Buff,5.0,,,,72,8.0,,,Mythloon,Stage 1,Mystic,Mythloon.png,1.0,Daylight = Night,Wraithrift,25.0,43.0,89.0,38.0,77.0,247.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,8.0,move3,22,51,Buff,72
Temporal Rift_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_06,,30,1.0,,,,42,3.0,,,,Buff,5.0,,,,66,8.0,,,Echolet,Stage 1,Mystic,Echolet.png,2.0,,Serenewt,30.0,67.0,45.0,77.0,39.0,228.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,8.0,move3,30,42,Buff,66
Temporal Rift_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_08,,20,1.0,,,,41,3.0,,,,Buff,6.0,,,,72,8.0,,,Orkidia,Stage 1,Mystic,Orkidia.png,3.0,,Wispetal,30.0,55.0,65.0,43.0,68.0,231.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,8.0,move3,20,41,Buff,72
Temporal Rift_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_10,,27,1.0,,,,40,4.0,,,,Buff,5.0,,,,61,8.0,,,Umbropplet,Stage 1,Mystic,Umbropplet.png,2.0,Precipitation > 0,Parasole,30.0,50.0,50.0,50.0,50.0,200.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,8.0,move3,27,40,Buff,61
Temporal Rift_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_12,,26,1.0,,,,Buff,3.0,,,,61,5.0,,,,72,9.0,,,Lumimba,Stage 1,Mystic,Lumimba.png,2.0,,Solmane,25.0,45.0,50.0,43.0,64.0,202.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,9.0,move2,26,Buff,61,72
Temporal Rift_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_15,,40,1.0,,,,47,3.0,,,,73,7.0,,,,Buff,8.0,,,Nyamura,Stage 1,Mystic,Nyamura.png,5.0,,,,99.0,81.0,99.0,81.0,360.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,8.0,move4,40,47,73,Buff
Temporal Rift_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_17,,31,1.0,,,,48,3.0,,,,Buff,5.0,,,,85,8.0,,,Faygoal Mystic,Stage 1,Mystic,Faygoal Mystic.png,4.0,,,,65.0,77.0,65.0,88.0,295.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,8.0,move3,31,48,Buff,85
Temporal Rift_18,,26,1.0,,,,Buff,3.0,,,,58,6.0,,,,77,9.0,,,Pebblift,Stage 1,Wind,Pebblift.png,3.0,,Aerolithon,30.0,55.0,71.0,56.0,67.0,249.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,9.0,move2,26,Buff,58,77
Temporal Rift_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_20,,23,1.0,,,,44,3.0,,,,61,7.0,,,,Buff,8.0,,,Loonaqua,Stage 1,Wind,Loonaqua.png,1.0,,Aqualoon,20.0,20.0,40.0,20.0,80.0,160.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,8.0,move4,23,44,61,Buff
Temporal Rift_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temporal Rift_23,,21,1.0,,,,Buff,3.0,,,,58,6.0,,,,77,8.0,,,Nimbearis,Stage 1,Wind,Nimbearis.png,3.0,cloud cover > 80,,,108.0,71.0,60.0,78.0,317.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,6.0,8.0,move2,21,Buff,58,77
Temporal Rift_24,,28,1.0,,,,57,2.0,,,,61,5.0,,,,Buff,8.0,,,Cycloblaze,Stage 1,Wind,Cycloblaze.png,4.0,Temperature > 18,,,72.0,92.0,70.0,89.0,323.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,5.0,8.0,move4,28,57,61,Buff
Temporal Rift_25,,31,1.0,,,,48,4.0,,,,Buff,6.0,,,,68,9.0,,,Eskiddo,Stage 1,Wind,Eskiddo.png,1.0,,Cryobbit,30.0,66.0,60.0,67.0,77.0,270.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,9.0,move3,31,48,Buff,68
