id_output,Name,Stage,Type,image,Rarity,Spawn Restriction,Evolves to,Evolution candy,HP,Attack,Defence,Speed,Total,Move1 Name,Move1 Power,Move1 Level,Move1 Effect,Move1 Effect number,Move2 Name,Move2 Power,Move2 Level,Move2 Effect,Move2 Effect number,Move3 Name,Move3 Power,Move3 Level,Move3 Effect,Move3 Effect number,Move4 Name,Move4 Power,Move4 Level,Move4 Effect,Move4 Effect number
Temporal Rift_01,Toxikin,Stage 1,Mystic,Toxikin.png,2,,Toxighoul,25,45,45,45,72,207,Toxiswipe,32,1,,,Ghastly Guard,0,4,Buff self defence,40%,,,,,,,,,,
Temporal Rift_02,Toxighoul,Stage 2,Mystic,Toxighoul.png,,,Miasmant,50,62,67,58,87,274,Toxiswipe,32,1,,,Ghastly Guard,0,4,Buff self defence,40%,Venom Pulse,56,5,,,,,,,
Temporal Rift_03,Miasmant,Stage 3,Mystic,Miasmant.png,,,,,70,87,76,99,332,Toxiswipe,32,1,,,Ghastly Guard,0,4,Buff self defence,40%,Venom Pulse,56,5,,,Rotburst,65,8,,
Temporal Rift_04,Mythloon,Stage 1,Mystic,Mythloon.png,1,Daylight = Night,Wraithrift,25,43,89,38,77,247,Myth Puff,22,1,,,Wraith Pop,51,2,,,Spirit Drain,0,5,Debuff opponent attack,50%,,,,,
Temporal Rift_05,Wraithrift,Stage 2,Mystic,Wraithrift.png,,,,,56,102,55,102,315,Myth Puff,22,1,,,Wraith Pop,51,2,,,Spirit Drain,0,5,Debuff opponent attack,50%,Nightfloat,72,9,,
Temporal Rift_06,Echolet,Stage 1,Mystic,Echolet.png,2,,Serenewt,30,67,45,77,39,228,Echo Tap,30,1,,,Resonant Ripple,44,5,,,,,,,,,,,,
Temporal Rift_07,Serenewt,Stage 2,Mystic,Serenewt.png,,,,,98,74,89,57,318,Echo Tap,30,1,,,Resonant Ripple,44,5,,,Harmonic Shell,0,6,Buff self defence,35%,Dissonance Drop,73,9,Debuff self speed,30%
Temporal Rift_08,Orkidia,Stage 1,Mystic,Orkidia.png,3,,Wispetal,30,55,65,43,68,231,Petal Flick,20,1,,,Bloom Burst,41,3,,,Orchid Lash,36,6,Debuff opponent attack,15%,,,,,
Temporal Rift_09,Wispetal,Stage 2,Mystic,Wispetal.png,,,,,74,97,65,91,327,Petal Flick,20,1,,,Bloom Burst,41,3,,,Orchid Lash,36,6,Debuff opponent attack,15%,Mystic Blossom,72,8,,
Temporal Rift_10,Umbropplet,Stage 1,Mystic,Umbropplet.png,2,Precipitation > 0,Parasole,30,50,50,50,50,200,Drizzle Tap,27,1,,,,,,,,,,,,,,,,,
Temporal Rift_11,Parasole,Stage 2,Mystic,Parasole.png,,,,,80,94,70,78,322,Drizzle Tap,27,1,,,Umbra Splash,40,4,,,Rainshield Rise,0,5,Buff self speed,35%,Stormtip Strike,51,8,Buff self attack,25%
Temporal Rift_12,Lumimba,Stage 1,Mystic,Lumimba.png,2,,Solmane,25,45,50,43,64,202,Glow Peck,21,1,,,Lumin Pulse,0,3,Buff self attack,30%,Shine Burst,55,7,,,,,,,
Temporal Rift_13,Solmane,Stage 2,Mystic,Solmane.png,,,Aurorion,50,77,56,70,72,275,Glow Peck,21,1,,,Lumin Pulse,0,3,Buff self attack,30%,Shine Burst,55,7,,,Radiant Crash,92,9,Debuff self defence,35%
Temporal Rift_14,Aurorion,Stage 3,Mystic,Aurorion.png,,,,,95,92,78,76,341,Glow Peck,21,1,,,Lumin Pulse,0,3,Buff self attack,30%,Shine Burst,55,7,,,Radiant Crash,92,9,Debuff self defence,35%
Temporal Rift_15,Nyamura,Stage 1,Mystic,Nyamura.png,5,,,,99,81,99,81,360,Nyapaw Swipe,38,1,,,Mystic Pounce,47,4,,,Moonlit Rake,71,7,,,Twin Aura Boost,0,8,"Buff self attack, defence",25%
Temporal Rift_16,Noctivane,Stage 2,Mystic,Noctivane.png,,,,,80,80,80,80,320,Gentle Blow,22,1,,,Psychic Roar,44,4,,,Mind Up,0,7,debuff opponent attack,45%,Last Sorrow,68,8,,
Temporal Rift_17,Faygoal Mystic,Stage 1,Mystic,Faygoal Mystic.png,4,,,,65,77,65,88,295,Faygleam,31,1,,,Mystic Dart,48,3,,,Spirit Sprint,0,5,Buff self speed,40%,Arcane Crash,95,8,Debuff self attack,50%
Temporal Rift_18,Pebblift,Stage 1,Wind,Pebblift.png,3,,Aerolithon,30,55,71,56,67,249,Pebble Pop,26,1,,,Stone Gust,25,3,Buff self speed,25%,,,,,,,,,,
Temporal Rift_19,Aerolithon,Stage 2,Wind,Aerolithon.png,,,,,56,94,79,89,318,Pebble Pop,26,1,,,Stone Gust,25,3,Buff self speed,25%,Rockrise Rush,43,6,Buff self attack,25%,Liftquake,77,9,,
Temporal Rift_20,Loonaqua,Stage 1,Wind,Loonaqua.png,1,,Aqualoon,20,20,40,20,80,160,Moon Drip,23,1,,,Aqua Wink,44,3,,,,,,,,,,,,
Temporal Rift_21,Aqualoon,Stage 2,Wind,Aqualoon.png,,,Baller,45,40,60,40,90,230,Moon Drip,23,1,,,Aqua Wink,44,3,,,,,,,,,,,,
Temporal Rift_22,Baller,Stage 3,Wind,Baller.png,,,,,65,90,65,100,320,Moon Drip,23,1,,,Aqua Wink,44,3,,,Tidal Spin,61,7,,,Lunar Restore,60,8,Heal self,40
Temporal Rift_23,Nimbearis,Stage 1,Wind,Nimbearis.png,3,cloud cover > 80,,,108,71,60,78,317,Cloud Paw,21,1,,,Nimbus Guard,0,3,Buff self defence,40%,Storm Swipe,58,6,,,Skybear Slam,77,8,,
Temporal Rift_24,Cycloblaze,Stage 1,Wind,Cycloblaze.png,4,Temperature > 18,,,72,92,70,89,323,Blaze Twirl,28,1,,,Cyclone Ember,57,2,,,Fire Spiral,61,5,,,Inferno Spin,30,8,"Buff self speed, attack",25%
