id,name
Elemental Awakening_27,Pyrosora
Elemental Awakening_34,Baklavaff
Elemental Awakening_61,Astromelon
Galactic Adventures_11,Mangost
Galactic Adventures_14,Frostant
Galactic Adventures_58,Beanling
Galactic Adventures_62,Laugherry
Galactic Adventures_62,Metalmagma
Exclusive_03,Sushimi
Exclusive_09,Castanito
Exclusive_32,Chippa
Temporal Rift_24,Cycloblaze
Temporal Rift_32,Flakette
Temporal Rift_33,Canelette
Temporal Rift_34,Rollinette
Temporal Rift_47,Petitelo
Temporal Rift_53,Noonette
Temporal Rift_72,Frymite
